bom,id,name,taxonomy_id,parent_id,parent_name,type,filter,filter_parent,filter_priority
,326,Parenting Education,109-03-07-04,109-03-07,Health Education,service,FALSE,FALSE,
,327,Sex Education,109-03-07-05,109-03-07,Health Education,service,FALSE,FALSE,
,328,Understand Disability,109-03-07-06,109-03-07,Health Education,service,FALSE,FALSE,
,329,Understand Mental Health,109-03-07-07,109-03-07,Health Education,service,FALSE,FALSE,
,330,Supported Employment,109-03-08,109-03,More Education,service,FALSE,FALSE,
,331,Special Education,109-03-09,109-03,More Education,service,FALSE,FALSE,
,332,Tutoring,109-03-10,109-03,More Education,service,FALSE,FALSE,
,333,Preschool,109-04,109,Education,service,FALSE,FALSE,
,334,Screening & Exams,109-05,109,Education,service,FALSE,FALSE,
,335,Citizenship & Immigration,109-05-01,109-05,Screening & Exams,service,FALSE,FALSE,
,336,GED/High-School Equivalency,109-05-02,109-05,Screening & Exams,service,FALSE,FALSE,
,337,English as a Second Language (ESL),109-05-03,109-05,Screening & Exams,service,FALSE,FALSE,
,338,Skills & Training,109-06,109,Education,service,FALSE,FALSE,
,339,Basic Literacy,109-06-01,109-06,Skills & Training,service,FALSE,FALSE,
,340,Computer Class,109-06-02,109-06,Skills & Training,service,FALSE,FALSE,
,341,Daily Life Skills,109-06-03,109-06,Skills & Training,service,FALSE,FALSE,
,342,Interview Training,109-06-04,109-06,Skills & Training,service,FALSE,FALSE,
,343,Resume Development,109-06-05,109-06,Skills & Training,service,FALSE,FALSE,
,344,Skills Assessment,109-06-06,109-06,Skills & Training,service,FALSE,FALSE,
,345,Specialized Training,109-06-07,109-06,Skills & Training,service,FALSE,FALSE,
,346,Work,110,,,service,FALSE,FALSE,
,347,Help Find Work,110-01,110,Work,service,FALSE,FALSE,
,348,Job Placement,110-01-01,110-01,Help Find Work,service,FALSE,FALSE,
,349,Supported Employment,110-01-02,110-01,Help Find Work,service,FALSE,FALSE,
,350,Help Pay for Work Expenses,110-02,110,Work,service,FALSE,FALSE,
,351,Clothes for Work,110-02-01,110-02,Help Pay for Work Expenses,service,FALSE,FALSE,
,352,Retirement Benefits,110-02-02,110-02,Help Pay for Work Expenses,service,FALSE,FALSE,
,353,Supplies for Work,110-02-03,110-02,Help Pay for Work Expenses,service,FALSE,FALSE,
,354,Unemployment Benefits,110-02-04,110-02,Help Pay for Work Expenses,service,FALSE,FALSE,
,355,Skills & Training,110-03,110,Work,service,FALSE,FALSE,
,356,Basic Literacy,110-03-01,110-03,Skills & Training,service,FALSE,FALSE,
,357,Computer Class,110-03-02,110-03,Skills & Training,service,FALSE,FALSE,
,358,GED/High-School Equivalency,110-03-03,110-03,Skills & Training,service,FALSE,FALSE,
,359,Interview Training,110-03-04,110-03,Skills & Training,service,FALSE,FALSE,
,360,Resume Development,110-03-05,110-03,Skills & Training,service,FALSE,FALSE,
,361,Skills Assessment,110-03-06,110-03,Skills & Training,service,FALSE,FALSE,
,362,Specialized Training,110-03-07,110-03,Skills & Training,service,FALSE,FALSE,
,363,Supported Employment,110-04,110,Work,service,FALSE,FALSE,
,364,Workplace Rights,110-05,110,Work,service,FALSE,FALSE,
,365,Legal,111,,,service,FALSE,FALSE,
,366,Advocacy & Legal Aid,111-01,111,Legal,service,FALSE,FALSE,
,367,Adoption & Foster Care,111-01-01,111-01,Advocacy & Legal Aid,service,FALSE,FALSE,
,368,Adoption & Foster Placement,111-01-01-01,111-01-01,Adoption & Foster Care,service,FALSE,FALSE,
,369,Adoption & Foster Parenting,111-01-01-02,111-01-01,Adoption & Foster Care,service,FALSE,FALSE,
,370,Adoption Planning,111-01-01-03,111-01-01,Adoption & Foster Care,service,FALSE,FALSE,
,371,Adoption Counseling,111-01-01-04,111-01-01,Adoption & Foster Care,service,FALSE,FALSE,
,372,Post-Adoption Support,111-01-01-05,111-01-01,Adoption & Foster Care,service,FALSE,FALSE,
,373,Citizenship & Immigration,111-01-02,111-01,Advocacy & Legal Aid,service,FALSE,FALSE,
,374,Discrimination & Civil Rights,111-01-03,111-01,Advocacy & Legal Aid,service,FALSE,FALSE,
,375,Guardianship,111-01-04,111-01,Advocacy & Legal Aid,service,FALSE,FALSE,
,376,Identification Recovery,111-01-05,111-01,Advocacy & Legal Aid,service,FALSE,FALSE,
,377,Understand Government Programs,111-01-06,111-01,Advocacy & Legal Aid,service,FALSE,FALSE,
,378,Workplace Rights,111-01-07,111-01,Advocacy & Legal Aid,service,FALSE,FALSE,
,379,Medical Legal,111-01-08,111-01,Advocacy & Legal Aid,service,FALSE,FALSE,
,380,Housing Legal,111-01-09,111-01,Advocacy & Legal Aid,service,FALSE,FALSE,
,381,Mediation,111-02,111,Legal,service,FALSE,FALSE,
,382,Notary,111-03,111,Legal,service,FALSE,FALSE,
,383,Representation,111-04,111,Legal,service,FALSE,FALSE,
,384,Translation & Interpretation,111-05,111,Legal,service,FALSE,FALSE,
,385,Age Group,112,,,situation,TRUE,TRUE,100
,386,All Ages,112-01,112,Age Group,situation,TRUE,FALSE,
,387,Adults (31-54 years old),112-02,112,Age Group,situation,TRUE,FALSE,
,388,Young Adults (20-30 years old),112-03,112,Age Group,situation,TRUE,FALSE,
,389,Teens (13-19 years old),112-04,112,Age Group,situation,TRUE,FALSE,
,390,Infants (0-1 years old),112-05,112,Age Group,situation,TRUE,FALSE,
,391,Children (2-12 years old),112-06,112,Age Group,situation,TRUE,FALSE,
,392,Seniors (55+ years old),112-07,112,Age Group,situation,TRUE,FALSE,
,393,Armed Forces,113,,,situation,FALSE,FALSE,
,394,Active Duty,113-01,113,Armed Forces,situation,FALSE,FALSE,
,395,National Guard,113-02,113,Armed Forces,situation,FALSE,FALSE,
,396,Veterans,113-03,113,Armed Forces,situation,FALSE,FALSE,
,397,Citizenship,114,,,situation,FALSE,FALSE,
,398,Immigrants,114-01,114,Citizenship,situation,FALSE,FALSE,
,399,Refugees,114-02,114,Citizenship,situation,FALSE,FALSE,
,400,Undocumented,114-03,114,Citizenship,situation,FALSE,FALSE,
,401,Criminal History,115,,,situation,FALSE,FALSE,
,402,Ex-Offenders,115-01,115,Criminal History,situation,FALSE,FALSE,
,403,In Jail,115-02,115,Criminal History,situation,FALSE,FALSE,
,404,Disability,116,,,situation,FALSE,FALSE,
,405,All Disabilities,116-01,116,Disability,situation,FALSE,FALSE,
,406,Learning Disability,116-02,116,Disability,situation,FALSE,FALSE,
,407,Developmental Disability,116-03,116,Disability,situation,FALSE,FALSE,
,408,Physical Disability,116-04,116,Disability,situation,FALSE,FALSE,
,409,Intellectual Disability,116-05,116,Disability,situation,FALSE,FALSE,
,410,Mentally Incapacitated,116-06,116,Disability,situation,FALSE,FALSE,
,411,Limited Mobility,116-07,116,Disability,situation,FALSE,FALSE,
,412,Hearing Impairment,116-08,116,Disability,situation,FALSE,FALSE,
,413,Visual Impairment,116-09,116,Disability,situation,FALSE,FALSE,
,414,Mental Illness,116-10,116,Disability,situation,TRUE,FALSE,
,415,Education,117,,,situation,FALSE,FALSE,
,416,Dropouts,117-01,117,Education,situation,FALSE,FALSE,
,417,Students,117-02,117,Education,situation,FALSE,FALSE,
,418,Employment,118,,,situation,FALSE,FALSE,
,419,Employed,118-01,118,Employment,situation,FALSE,FALSE,
,420,Retired,118-02,118,Employment,situation,FALSE,FALSE,
,421,Unemployed,118-03,118,Employment,situation,FALSE,FALSE,
,422,Gender & Sexuality,119,,,situation,TRUE,TRUE,200
,423,Women,119-01,119,Gender & Sexuality,situation,TRUE,FALSE,
,424,Men,119-02,119,Gender & Sexuality,situation,TRUE,FALSE,
,425,Transgender Woman,119-03,119,Gender & Sexuality,situation,TRUE,FALSE,
,426,Transgender Man,119-04,119,Gender & Sexuality,situation,TRUE,FALSE,
,427,Non-binary,119-05,119,Gender & Sexuality,situation,TRUE,FALSE,
,428,LGBTQ,119-06,119,Gender & Sexuality,situation,TRUE,FALSE,
,429,Guardianship,120,,,situation,FALSE,FALSE,
,430,Foster Youth,120-01,120,Guardianship,situation,FALSE,FALSE,
,431,Health Specialties,121,,,situation,FALSE,TRUE,300
,432,Pregnancy,121-01,121,Health Specialties,situation,TRUE,FALSE,
,433,Cancer,121-02,121,Health Specialties,situation,FALSE,FALSE,
,434,Alzheimers,121-03,121,Health Specialties,situation,FALSE,FALSE,
,435,Seizure Disorder,121-04,121,Health Specialties,situation,FALSE,FALSE,
,436,PTSD,121-05,121,Health Specialties,situation,FALSE,FALSE,
,437,Terminal Illness,121-06,121,Health Specialties,situation,TRUE,FALSE,
,438,HIV/AIDS,121-07,121,Health Specialties,situation,TRUE,FALSE,
,439,Neuromuscular Disease,121-08,121,Health Specialties,situation,FALSE,FALSE,
,440,Tobacco/Nicotine/Smoking,121-09,121,Health Specialties,situation,TRUE,FALSE,
,441,Opioid Use Disorder,121-10,121,Health Specialties,situation,TRUE,FALSE,
,442,Alcohol Use Disorder,121-11,121,Health Specialties,situation,TRUE,FALSE,
,443,Mental Illness,121-12,121,Health Specialties,situation,TRUE,FALSE,
,444,Chronic Illness,121-13,121,Health Specialties,situation,FALSE,FALSE,
,445,Genetic Disorder,121-14,121,Health Specialties,situation,FALSE,FALSE,
,446,Diabetes,121-15,121,Health Specialties,situation,FALSE,FALSE,
,447,Autism,121-16,121,Health Specialties,situation,FALSE,FALSE,
,448,Family Friendly,122,,,situation,TRUE,TRUE,400
,449,Families with Children,122-01,122,Family Friendly,situation,TRUE,FALSE,
,450,Single Mom,122-02,122,Family Friendly,situation,TRUE,FALSE,
,451,Single Dad,122-03,122,Family Friendly,situation,TRUE,FALSE,
,452,Housing,123,,,situation,FALSE,FALSE,
,453,Home Renters,123-01,123,Housing,situation,FALSE,FALSE,
,454,Homeless,123-02,123,Housing,situation,FALSE,FALSE,
,455,Near Homeless,123-03,123,Housing,situation,FALSE,FALSE,
,456,Runaways,123-04,123,Housing,situation,FALSE,FALSE,
,457,Income,124,,,situation,FALSE,FALSE,
,458,Benefit Recipients,124-01,124,Income,situation,FALSE,FALSE,
,459,Low-Income,124-02,124,Income,situation,FALSE,FALSE,
,460,Insurance Accepted,125,,,situation,TRUE,TRUE,500
,461,Uninsured (pay out of pocket),125-01,125,Insurance Accepted,situation,TRUE,FALSE,
,462,Medicaid,125-02,125,Insurance Accepted,situation,TRUE,FALSE,
,463,Medicare,125-03,125,Insurance Accepted,situation,TRUE,FALSE,
,464,Tricare,125-04,125,Insurance Accepted,situation,TRUE,FALSE,
,465,Private,125-05,125,Insurance Accepted,situation,TRUE,FALSE,
,466,Languages,126,,,situation,TRUE,TRUE,600
,467,Spanish-Fluent Provider,126-01,126,Languages,situation,TRUE,FALSE,
,468,ASL-Fluent Provider,126-02,126,Languages,situation,TRUE,FALSE,
,469,Web-based Translation,126-03,126,Languages,situation,TRUE,FALSE,
,470,Race/Ethnicity,127,,,situation,FALSE,FALSE,
,471,African American,127-01,127,Race/Ethnicity,situation,FALSE,FALSE,
,472,Asian,127-02,127,Race/Ethnicity,situation,FALSE,FALSE,
,473,Latinx,127-03,127,Race/Ethnicity,situation,FALSE,FALSE,
,474,Native American,127-04,127,Race/Ethnicity,situation,FALSE,FALSE,
,475,Role,128,,,situation,FALSE,FALSE,
,476,Caregivers,128-01,128,Role,situation,FALSE,FALSE,
,477,Spouses,128-02,128,Role,situation,FALSE,FALSE,
,478,Dependents,128-03,128,Role,situation,FALSE,FALSE,
,479,Fathers,128-04,128,Role,situation,FALSE,FALSE,
,480,Mothers,128-05,128,Role,situation,FALSE,FALSE,
,481,Parents,128-06,128,Role,situation,FALSE,FALSE,
,482,Survivors,129,,,situation,FALSE,FALSE,
,483,All Survivors,129-01,129,Survivors,situation,FALSE,FALSE,
,484,Trauma Survivors,129-02,129,Survivors,situation,FALSE,FALSE,
,485,Abuse or Neglect Survivors,129-03,129,Survivors,situation,FALSE,FALSE,
,486,Burn Survivors,129-04,129,Survivors,situation,FALSE,FALSE,
,487,Cancer Survivors,129-05,129,Survivors,situation,FALSE,FALSE,
,488,Childhood Cancer Survivors,129-06,129,Survivors,situation,FALSE,FALSE,
,489,Young Adult Cancer Survivors,129-07,129,Survivors,situation,FALSE,FALSE,
,490,Adult Cancer Survivors,129-08,129,Survivors,situation,FALSE,FALSE,
,491,Domestic Violence Survivors,129-09,129,Survivors,situation,FALSE,FALSE,
,492,Human Trafficking Survivors,129-10,129,Survivors,situation,FALSE,FALSE,
,493,Natural Disaster Survivors,129-11,129,Survivors,situation,FALSE,FALSE,
,494,Sexual Assault Survivors,129-12,129,Survivors,situation,FALSE,FALSE,
,495,Documents Needed,130,,,situation,TRUE,TRUE,700
,496,No ID Required,130-01,130,Documents Needed,situation,TRUE,FALSE,
,497,No Referral Required,130-02,130,Documents Needed,situation,FALSE,FALSE,
,498,State ID Required,130-03,130,Documents Needed,situation,FALSE,FALSE,
,499,Social Security Required,130-04,130,Documents Needed,situation,FALSE,FALSE,
,500,Pay Stub Required,130-05,130,Documents Needed,situation,FALSE,FALSE,
,501,Proof of Residence Required,130-06,130,Documents Needed,situation,FALSE,FALSE,
,502,Insurance Card Required,130-07,130,Documents Needed,situation,FALSE,FALSE,
,503,Special Hours,131,,,situation,TRUE,TRUE,800
,504,Walk-In Hours Provided,131-01,131,Special Hours,situation,TRUE,FALSE,
,505,Evening Hours Provided,131-02,131,Special Hours,situation,TRUE,FALSE,
,506,Weekend Hours Provided,131-03,131,Special Hours,situation,TRUE,FALSE,
,507,Substance Use Treatment Preferences,132,,,situation,TRUE,TRUE,1000
,508,Prayer Not Required,132-01,132,Substance Use Treatment Preferences,situation,TRUE,FALSE,
,509,Smoking Allowed,132-02,132,Substance Use Treatment Preferences,situation,TRUE,FALSE,
,510,Children Allowed,132-03,132,Substance Use Treatment Preferences,situation,TRUE,FALSE,
,511,Pregnant Women Specialized Care,132-04,132,Substance Use Treatment Preferences,situation,TRUE,FALSE,
,512,Forensic (Court Ordered) Clients Served,132-05,132,Substance Use Treatment Preferences,situation,TRUE,FALSE,
,513,Co-occurring Mental Health Treatment Provided,132-06,132,Substance Use Treatment Preferences,situation,TRUE,FALSE,
,514,Blackout Period Required,132-07,132,Substance Use Treatment Preferences,situation,TRUE,FALSE,
,515,Cell-Phone Allowed,132-08,132,Substance Use Treatment Preferences,situation,TRUE,FALSE,
,516,Case Management Services Provided,132-09,132,Substance Use Treatment Preferences,situation,TRUE,FALSE,
,517,Support Groups Services Provided,132-10,132,Substance Use Treatment Preferences,situation,TRUE,FALSE,
