bom,name,taxonomy_id,parent_id,parent_name,type,filter,filter_parent,filter_priority
,Resume Development,109-06-05,109-06,Skills & Training,service,FALSE,FALSE,
,Skills Assessment,109-06-06,109-06,Skills & Training,service,FALSE,FALSE,
,Specialized Training,109-06-07,109-06,Skills & Training,service,FALSE,FALSE,
,Work,110,,,service,FALSE,FALSE,
,Help Find Work,110-01,110,Work,service,FALSE,FALSE,
,Job Placement,110-01-01,110-01,Help Find Work,service,FALSE,FALSE,
,Supported Employment,110-01-02,110-01,Help Find Work,service,FALSE,FALSE,
,Help Pay for Work Expenses,110-02,110,Work,service,FALSE,FALSE,
,Clothes for Work,110-02-01,110-02,Help Pay for Work Expenses,service,FALSE,FALSE,
,Retirement Benefits,110-02-02,110-02,Help Pay for Work Expenses,service,FALSE,FALSE,
,Supplies for Work,110-02-03,110-02,Help Pay for Work Expenses,service,FALSE,FALSE,
,Unemployment Benefits,110-02-04,110-02,Help Pay for Work Expenses,service,FALSE,FALSE,
,Skills & Training,110-03,110,Work,service,FALSE,FALSE,
,Basic Literacy,110-03-01,110-03,Skills & Training,service,FALSE,FALSE,
,Computer Class,110-03-02,110-03,Skills & Training,service,FALSE,FALSE,
,GED/High-School Equivalency,110-03-03,110-03,Skills & Training,service,FALSE,FALSE,
,Interview Training,110-03-04,110-03,Skills & Training,service,FALSE,FALSE,
,Resume Development,110-03-05,110-03,Skills & Training,service,FALSE,FALSE,
,Skills Assessment,110-03-06,110-03,Skills & Training,service,FALSE,FALSE,
,Specialized Training,110-03-07,110-03,Skills & Training,service,FALSE,FALSE,
,Supported Employment,110-04,110,Work,service,FALSE,FALSE,
,Workplace Rights,110-05,110,Work,service,FALSE,FALSE,
,Legal,111,,,service,FALSE,FALSE,
,Advocacy & Legal Aid,111-01,111,Legal,service,FALSE,FALSE,
,Adoption & Foster Care,111-01-01,111-01,Advocacy & Legal Aid,service,FALSE,FALSE,
,Adoption & Foster Placement,111-01-01-01,111-01-01,Adoption & Foster Care,service,FALSE,FALSE,
,Adoption & Foster Parenting,111-01-01-02,111-01-01,Adoption & Foster Care,service,FALSE,FALSE,
,Adoption Planning,111-01-01-03,111-01-01,Adoption & Foster Care,service,FALSE,FALSE,
,Adoption Counseling,111-01-01-04,111-01-01,Adoption & Foster Care,service,FALSE,FALSE,
,Post-Adoption Support,111-01-01-05,111-01-01,Adoption & Foster Care,service,FALSE,FALSE,
,Citizenship & Immigration,111-01-02,111-01,Advocacy & Legal Aid,service,FALSE,FALSE,
,Discrimination & Civil Rights,111-01-03,111-01,Advocacy & Legal Aid,service,FALSE,FALSE,
,Guardianship,111-01-04,111-01,Advocacy & Legal Aid,service,FALSE,FALSE,
,Identification Recovery,111-01-05,111-01,Advocacy & Legal Aid,service,FALSE,FALSE,
,Understand Government Programs,111-01-06,111-01,Advocacy & Legal Aid,service,FALSE,FALSE,
,Workplace Rights,111-01-07,111-01,Advocacy & Legal Aid,service,FALSE,FALSE,
,Medical Legal,111-01-08,111-01,Advocacy & Legal Aid,service,FALSE,FALSE,
,Housing Legal,111-01-09,111-01,Advocacy & Legal Aid,service,FALSE,FALSE,
,Mediation,111-02,111,Legal,service,FALSE,FALSE,
,Notary,111-03,111,Legal,service,FALSE,FALSE,
,Representation,111-04,111,Legal,service,FALSE,FALSE,
,Translation & Interpretation,111-05,111,Legal,service,FALSE,FALSE,
,Age Group,112,,,situation,TRUE,TRUE,100
,All Ages,112-01,112,Age Group,situation,TRUE,FALSE,
,Adults (31-54 years old),112-02,112,Age Group,situation,TRUE,FALSE,
,Young Adults (20-30 years old),112-03,112,Age Group,situation,TRUE,FALSE,
,Teens (13-19 years old),112-04,112,Age Group,situation,TRUE,FALSE,
,Infants (0-1 years old),112-05,112,Age Group,situation,TRUE,FALSE,
,Children (2-12 years old),112-06,112,Age Group,situation,TRUE,FALSE,
,Seniors (55+ years old),112-07,112,Age Group,situation,TRUE,FALSE,
,Armed Forces,113,,,situation,FALSE,FALSE,
,Active Duty,113-01,113,Armed Forces,situation,FALSE,FALSE,
,National Guard,113-02,113,Armed Forces,situation,FALSE,FALSE,
,Veterans,113-03,113,Armed Forces,situation,FALSE,FALSE,
,Citizenship,114,,,situation,FALSE,FALSE,
,Immigrants,114-01,114,Citizenship,situation,FALSE,FALSE,
,Refugees,114-02,114,Citizenship,situation,FALSE,FALSE,
,Undocumented,114-03,114,Citizenship,situation,FALSE,FALSE,
,Criminal History,115,,,situation,FALSE,FALSE,
,Ex-Offenders,115-01,115,Criminal History,situation,FALSE,FALSE,
,In Jail,115-02,115,Criminal History,situation,FALSE,FALSE,
,Disability,116,,,situation,FALSE,FALSE,
,All Disabilities,116-01,116,Disability,situation,FALSE,FALSE,
,Learning Disability,116-02,116,Disability,situation,FALSE,FALSE,
,Developmental Disability,116-03,116,Disability,situation,FALSE,FALSE,
,Physical Disability,116-04,116,Disability,situation,FALSE,FALSE,
,Intellectual Disability,116-05,116,Disability,situation,FALSE,FALSE,
,Mentally Incapacitated,116-06,116,Disability,situation,FALSE,FALSE,
,Limited Mobility,116-07,116,Disability,situation,FALSE,FALSE,
,Hearing Impairment,116-08,116,Disability,situation,FALSE,FALSE,
,Visual Impairment,116-09,116,Disability,situation,FALSE,FALSE,
,Mental Illness,116-10,116,Disability,situation,TRUE,FALSE,
,Education,117,,,situation,FALSE,FALSE,
,Dropouts,117-01,117,Education,situation,FALSE,FALSE,
,Students,117-02,117,Education,situation,FALSE,FALSE,
,Employment,118,,,situation,FALSE,FALSE,
,Employed,118-01,118,Employment,situation,FALSE,FALSE,
,Retired,118-02,118,Employment,situation,FALSE,FALSE,
,Unemployed,118-03,118,Employment,situation,FALSE,FALSE,
,Gender & Sexuality,119,,,situation,TRUE,TRUE,200
,Women,119-01,119,Gender & Sexuality,situation,TRUE,FALSE,
,Men,119-02,119,Gender & Sexuality,situation,TRUE,FALSE,
,Transgender Woman,119-03,119,Gender & Sexuality,situation,TRUE,FALSE,
,Transgender Man,119-04,119,Gender & Sexuality,situation,TRUE,FALSE,
,Non-binary,119-05,119,Gender & Sexuality,situation,TRUE,FALSE,
,LGBTQ,119-06,119,Gender & Sexuality,situation,TRUE,FALSE,
,Guardianship,120,,,situation,FALSE,FALSE,
,Foster Youth,120-01,120,Guardianship,situation,FALSE,FALSE,
,Health Specialties,121,,,situation,FALSE,TRUE,300
,Pregnant,121-01,121,Health Specialties,situation,TRUE,FALSE,
,Cancer,121-02,121,Health Specialties,situation,FALSE,FALSE,
,Alzheimers,121-03,121,Health Specialties,situation,FALSE,FALSE,
,Seizure Disorder,121-04,121,Health Specialties,situation,FALSE,FALSE,
,PTSD,121-05,121,Health Specialties,situation,FALSE,FALSE,
,Terminal Illness,121-06,121,Health Specialties,situation,TRUE,FALSE,
,HIV/AIDS,121-07,121,Health Specialties,situation,TRUE,FALSE,
,Neuromuscular Disease,121-08,121,Health Specialties,situation,FALSE,FALSE,
,Tobacco/Nicotine/Smoking,121-09,121,Health Specialties,situation,TRUE,FALSE,
,Opioid Use Disorder,121-10,121,Health Specialties,situation,TRUE,FALSE,
,Alcohol Use Disorder,121-11,121,Health Specialties,situation,TRUE,FALSE,
,Mental Illness,121-12,121,Health Specialties,situation,TRUE,FALSE,
,Chronic Illness,121-13,121,Health Specialties,situation,FALSE,FALSE,
,Genetic Disorder,121-14,121,Health Specialties,situation,FALSE,FALSE,
,Diabetes,121-15,121,Health Specialties,situation,FALSE,FALSE,
,Autism,121-16,121,Health Specialties,situation,FALSE,FALSE,
,Family Friendly,122,,,situation,TRUE,TRUE,400
,Families with Children,122-01,122,Family Friendly,situation,TRUE,FALSE,
,Single Mom,122-02,122,Family Friendly,situation,TRUE,FALSE,
,Single Dad,122-03,122,Family Friendly,situation,TRUE,FALSE,
,Housing,123,,,situation,FALSE,FALSE,
,Home Renters,123-01,123,Housing,situation,FALSE,FALSE,
,Homeless,123-02,123,Housing,situation,FALSE,FALSE,
,Near Homeless,123-03,123,Housing,situation,FALSE,FALSE,
,Runaways,123-04,123,Housing,situation,FALSE,FALSE,
,Income,124,,,situation,FALSE,FALSE,
,Benefit Recipients,124-01,124,Income,situation,FALSE,FALSE,
,Low-Income,124-02,124,Income,situation,FALSE,FALSE,
,Insurance Accepted,125,,,situation,TRUE,TRUE,500
,Uninsured (pay out of pocket),125-01,125,Insurance Accepted,situation,TRUE,FALSE,
,Medicaid,125-02,125,Insurance Accepted,situation,TRUE,FALSE,
,Medicare,125-03,125,Insurance Accepted,situation,TRUE,FALSE,
,Tricare,125-04,125,Insurance Accepted,situation,TRUE,FALSE,
,Private,125-05,125,Insurance Accepted,situation,TRUE,FALSE,
,Languages,126,,,situation,TRUE,TRUE,600
,Spanish-Fluent Provider,126-01,126,Languages,situation,TRUE,FALSE,
,ASL-Fluent Provider,126-02,126,Languages,situation,TRUE,FALSE,
,Web-based Translation,126-03,126,Languages,situation,TRUE,FALSE,
,Race/Ethnicity,127,,,situation,FALSE,FALSE,
,African American,127-01,127,Race/Ethnicity,situation,FALSE,FALSE,
,Asian,127-02,127,Race/Ethnicity,situation,FALSE,FALSE,
,Latinx,127-03,127,Race/Ethnicity,situation,FALSE,FALSE,
,Native American,127-04,127,Race/Ethnicity,situation,FALSE,FALSE,
,Role,128,,,situation,FALSE,FALSE,
,Caregivers,128-01,128,Role,situation,FALSE,FALSE,
,Spouses,128-02,128,Role,situation,FALSE,FALSE,
,Dependents,128-03,128,Role,situation,FALSE,FALSE,
,Fathers,128-04,128,Role,situation,FALSE,FALSE,
,Mothers,128-05,128,Role,situation,FALSE,FALSE,
,Parents,128-06,128,Role,situation,FALSE,FALSE,
,Survivors,129,,,situation,FALSE,FALSE,
,All Survivors,129-01,129,Survivors,situation,FALSE,FALSE,
,Trauma Survivors,129-02,129,Survivors,situation,FALSE,FALSE,
,Abuse or Neglect Survivors,129-03,129,Survivors,situation,FALSE,FALSE,
,Burn Survivors,129-04,129,Survivors,situation,FALSE,FALSE,
,Cancer Survivors,129-05,129,Survivors,situation,FALSE,FALSE,
,Childhood Cancer Survivors,129-06,129,Survivors,situation,FALSE,FALSE,
,Young Adult Cancer Survivors,129-07,129,Survivors,situation,FALSE,FALSE,
,Adult Cancer Survivors,129-08,129,Survivors,situation,FALSE,FALSE,
,Domestic Violence Survivors,129-09,129,Survivors,situation,FALSE,FALSE,
,Human Trafficking Survivors,129-10,129,Survivors,situation,FALSE,FALSE,
,Natural Disaster Survivors,129-11,129,Survivors,situation,FALSE,FALSE,
,Sexual Assault Survivors,129-12,129,Survivors,situation,FALSE,FALSE,
,Documents Needed,130,,,situation,TRUE,TRUE,700
,No ID Required,130-01,130,Documents Needed,situation,TRUE,FALSE,
,No Referral Required,130-02,130,Documents Needed,situation,FALSE,FALSE,
,State ID Required,130-03,130,Documents Needed,situation,FALSE,FALSE,
,Social Security Required,130-04,130,Documents Needed,situation,FALSE,FALSE,
,Pay Stub Required,130-05,130,Documents Needed,situation,FALSE,FALSE,
,Proof of Residence Required,130-06,130,Documents Needed,situation,FALSE,FALSE,
,Insurance Card Required,130-07,130,Documents Needed,situation,FALSE,FALSE,
,Special Hours,131,,,situation,TRUE,TRUE,800
,Walk-In Hours Provided,131-01,131,Special Hours,situation,TRUE,FALSE,
,Evening Hours Provided,131-02,131,Special Hours,situation,TRUE,FALSE,
,Weekend Hours Provided,131-03,131,Special Hours,situation,TRUE,FALSE,
,Substance Use Treatment Preferences,132,,,situation,TRUE,TRUE,1000
,Prayer Not Required,132-01,132,Substance Use Treatment Preferences,situation,TRUE,FALSE,
,Smoking Allowed,132-02,132,Substance Use Treatment Preferences,situation,TRUE,FALSE,
,Children Allowed,132-03,132,Substance Use Treatment Preferences,situation,TRUE,FALSE,
,Pregnant Women Specialized Care,132-04,132,Substance Use Treatment Preferences,situation,TRUE,FALSE,
,Forensic (Court Ordered) Clients Served,132-05,132,Substance Use Treatment Preferences,situation,TRUE,FALSE,
,Co-occurring Mental Health Treatment Provided,132-06,132,Substance Use Treatment Preferences,situation,TRUE,FALSE,
,Blackout Period Required,132-07,132,Substance Use Treatment Preferences,situation,TRUE,FALSE,
,Cell-Phone Allowed,132-08,132,Substance Use Treatment Preferences,situation,TRUE,FALSE,
,Case Management Services Provided,132-09,132,Substance Use Treatment Preferences,situation,TRUE,FALSE,
,Support Groups Services Provided,132-10,132,Substance Use Treatment Preferences,situation,TRUE,FALSE,
