current_parent_categories,name,id,location_name,new_category,new_subcategory,clear_categories
Substance Use Treatment Preferences,Family Planning,144431,Johns Hopkins Center for Addiction and Pregnancy (CAP),Substance Use,Treatment Centers,
Substance Use Treatment Preferences,Overnight Stay Service,144430,Johns Hopkins Center for Addiction and Pregnancy (CAP),Substance Use,Treatment Centers,
Substance Use Treatment Preferences,"Baltimore City DSS, Family Support Services",143527,"Baltimore City DSS, Family Preservation Services",Safety,Children,
Transit,Transportation,144887,COVID-19 TRANSPORTATION/FOOD -- CountyRide,,,clear
Transit,Medical Transportation (Transporte médico),145166,Moveable Feast (Se Habla Español),Transportation,Medical Transportation Assistance,
Transit,Taxi Service,144904,MTA MobilityLink (Paratransit) Program,Transportation,Reduced Cost/ Free Transportation,
Transit,Transportation Services,144279,"Native American Lifelines, Inc.",Transportation,Reduced Cost/ Free Transportation,
Transit,Transportation,144318,Port Recovery,Transportation,Medical Transportation Assistance,
"Transit, Age Group, Disability",MobilityLink,144050,Maryland Transit Association,,,clear
"Transit, Age Group, Disability, Insurance Accepted, Documents Needed",Seniors Reduced Fare Card Program,144049,Maryland Transit Association,,,clear
"Transit, Health, Money, Work, Age Group, Armed Forces, Citizenship, Criminal History, Disability, Employment, Gender & Sexuality, Health Specialties, Family Friendly, Housing, Income, Insurance Accepted, Race/Ethnicity, Documents Needed, Special Hours",Vocational Services,144701,"Mosaic Community Services, Baltimore City",,,clear
Work,Employment Services,144756,"Abilities Network, Headquarters",,,clear
Work,"Jewish Community Services, Career Services",140928,Jewish Big Brother & Big Sister League and Jewish Addiction Srvs.,,,clear
Work,Workforce Reception Center,143167,Workforce Reception Center,,,clear
Work,Employment Services,144497,G. 1440 Staffing,,,clear
Work,"Baltimore Housing, Step-Up Program",142725,"Baltimore Housing, Home Ownership & Rehabilitation Services",,,clear
Work,Our Daily Bread Employment Services,143784,Christopher Place Employment Academy,,,clear
Work,Vocational Training and Employment Services,144310,"Organization of Hope, Inc.",,,clear
Work,Workforce Development,144356,House of Change Behavioral Health,,,clear
"Work, Age Group, Disability",Supported Employment Services,144657,The Arc Baltimore at Loch Ridge,,,clear
"Work, Age Group, Disability",Supported Employment Services,144660,The Arc Baltimore at Homeland,,,clear
"Work, Age Group, Disability",Supported Employment Services,144658,The Arc Baltimore at Seton Business Park,,,clear
"Work, Age Group, Disability",Supported Employment Services,144659,The Arc Baltimore at Dundalk,,,clear
"Work, Age Group, Disability",Supported Employment Services,144661,The Arc Baltimore Community Resource Center,,,clear
"Work, Age Group, Disability",Day Services,144650,The Arc Baltimore at Towson,,,clear
"Work, Age Group, Disability",Day Services,144651,The Arc Baltimore at Seton Business Park,,,clear
"Work, Age Group, Disability",Day Services,144652,The Arc Baltimore at Dundalk,,,clear
"Work, Age Group, Disability",Day Services,144648,The Arc Baltimore at Loch Ridge,,,clear
"Work, Age Group, Disability",Day Services,144649,The Arc Baltimore at Woodlawn,,,clear
"Work, Age Group, Disability",Day Services,144653,The Arc Baltimore at Homeland,,,clear
"Work, Age Group, Disability",Day Services,144654,The Arc Baltimore Community Resource Center,,,clear
"Work, Age Group, Disability",Supported Employment Services,144655,The Arc Baltimore at Woodlawn,,,clear
"Work, Age Group, Disability",Supported Employment Services,144656,The Arc Baltimore at Towson,,,clear
"Work, Age Group, Employment",Computer Classes & Job Readiness,144724,Franciscan Center,Employment,Job Training,
"Work, Armed Forces, Employment",Automotive Mechanic Training/ Automotive Painting,144743,Herbert J. Hoelter Vocational Training Center,,,clear
"Work, Criminal History, Employment",Job Placement,144619,America Works of Maryland,,,clear
"Work, Criminal History, Employment",Job Readiness,144620,America Works of Maryland,,,clear
"Work, Employment",CDL Class B License Training,144744,Herbert J. Hoelter Vocational Training Center,,,clear
"Work, Employment",HVAC Training,144745,Herbert J. Hoelter Vocational Training Center,,,clear
"Work, Employment",Drone Training,144746,Herbert J. Hoelter Vocational Training Center,,,clear
,,,,,,
Age Group,Senior Services,139836,Action in Maturity,,,Clear
Age Group,Find a Volunteer,145021,Covaid,,,Clear
Age Group,"Kennedy Krieger Family Center, Birth To Five Clinic",143511,"Kennedy Krieger Family Center, Birth To Five Clinic",,,Clear
Age Group,Division of Youth and Young Adult Ministry,143894,Division of Youth and Young Adult Ministry,,,Clear
Age Group,Elder Coffee Hour,144568,The Pride Center of Maryland,,,Clear
Age Group,The Exchange,144542,The Journey Center,,,Clear
"Age Group, Disability","Kennedy Krieger Family Center, Unity Clinic",143510,"Kennedy Krieger Family Center, Birth To Five Clinic",,,Clear
"Age Group, Disability",Catholic Charities Senior Communities,140917,Catholic Charities Division of Housing Services,,,Clear
"Age Group, Disability, Health Specialties",Behavior and Communication Resource Services,144689,"Athelas Institute, Inc. Community Resource Center and Autism Program",,,Clear
"Age Group, Disability, Health Specialties, Housing",Independent Living,143261,Augsburg Village,,,Clear
"Age Group, Education, Employment, Survivors, Substance Use Treatment Preferences",Family Resilience Project,144055,Baltimore City Health Department Office of Youth & Trauma Services,,,Clear
"Age Group, Employment, Work",Economic Success,142797,Center for Urban Families,,,Clear
"Age Group, Gender & Sexuality",SAGEConnect,145023,Advocacy & Services for LGBT Elders,,,Clear
"Age Group, Gender & Sexuality, Goods, Health, Education, Health Specialties",Pregnancy Testing,139866,Alpha Pregnancy Center,,,Clear
"Age Group, Gender & Sexuality, Health Specialties","Women, Pregnant Women and Women with Children's Services",144126,"Gaudenzia, Inc.",,,Clear
"Age Group, Health",Addiction treatment,139868,"Alternatives to Dependency, Towson (Main Office)",,,Clear
"Age Group, Health",LGBTQ Support Programs,142433,Adolescent STAR TRACK Program at University of Maryland,,,Clear
"Age Group, Health Specialties",Triad House,142193,Triad House,,,Clear
"Age Group, Health, Care, Education, Substance Use Treatment Preferences",Treatment on Demand,142724,Powell Recovery Center,,,Clear
"Age Group, Health, Money, Care",Ceremony Services,144902,Wylie Funeral Home,,,Clear
"Age Group, Income, Housing, Health Specialties, Disability, Housing, Documents Needed","My Sister's Place Lodge, Catholic Charities",140442,My Sister's Place Lodge,,,Clear
Care,"Baltimore Animal Rescue & Care Shelter, Inc",142823,"Baltimore Animal Rescue & Care Shelter, Inc",,,Clear
Care,"Baltimore City Police Department, Central District",141212,"Baltimore City Police Department, Central District",,,Clear
Care,"Baltimore City Health Dept., Environmental Health Division",142714,"Baltimore City Health Department, Administration",,,Clear
"Care, Age Group",Family Stability,144708,Center for Urban Families,,,Clear
"Care, Age Group",Support Services (Servicios de Apoyo),144941,Meals on Wheels (Se Habla EspaÃ±ol),,,Clear
"Care, Age Group",Support groups,144704,"Arundel House of Hope, Community Recovery Center",,,Clear
"Care, Age Group, Disability",Assisted Living,144692,Augsburg Village,,,Clear
"Care, Age Group, Disability, Health Specialties, Substance Use Treatment Preferences","Baltimore City Commission on Aging & Retire., Adult Day Care",141160,"Baltimore City Commission on Aging & Retire., Adult Day Care",,,Clear
"Care, Age Group, Family Friendly",Child Development Center,142866,Child Development Center,,,Clear
"Care, Age Group, Family Friendly",Dunbar Day Care Center,142865,Dunbar Day Care Center,,,Clear
"Care, Age Group, Gender & Sexuality","Gay, Lesbian, Bisexual, & Transgender National Youth Talkline",144043,"Gay, Lesbian, Bisexual, & Transgender National Youth Talkline",,,Clear
"Care, Age Group, Substance Use Treatment Preferences",Al-Anon & Alateen Group Meetings,139847,"Al-Anon & Alateen, Greater Baltimore Area",,,Clear
"Care, Disability",Independent living services,144789,"Abilities Network, Headquarters",,,Clear
"Care, Education",CCAR Recovery Coach Academy,144754,3C Recovery Support Training Institute,,,Clear
"Care, Education",Education & Counseling,144166,"Bon Secours, New Hope Treatment Center",,,Clear
"Care, Education, Age Group","Police Athletic League (PAL), Dundalk",141181,"Police Athletic League (PAL), Dundalk",,,Clear
"Care, Education, Age Group",Prevention Education Workshops,144683,"Counseling, Helpline, & Aid Network for Abused",,,Clear
"Care, Education, Age Group, Health Specialties, Substance Use Treatment Preferences","Alzheimer's Association, Hagerstown",143114,"Division of Rehabilitation Services, Region I, Western Maryland",,,Clear
"Care, Education, Housing",Family Stability and Shelter Diversion,144748,"Project PLASE, Inc.",,,Clear
"Care, Education, Work, Criminal History, Employment, Income",Support Services,144621,America Works of Maryland,,,Clear
"Care, Guardianship",Adoptive Parents,144501,"Adoption Makes Family, Inc.",,,Clear
"Care, Health Specialties, Health",Birth Parents,144499,"Adoption Makes Family, Inc.",,,Clear
"Care, Legal, Age Group, Health Specialties, Substance Use Treatment Preferences","Alzheimer's Association, Western Maryland",142264,"Alzheimer's Association, Western Maryland",,,Clear
"Care, Substance Use Treatment Preferences","Baltimore City DSS, Family Services",143523,"Baltimore City DSS, Family Preservation Services",,,Clear
"Care, Survivors","Baltimore City DSS, Intake & Assessment",141281,"Baltimore City DSS, Family Preservation Services",,,Clear
"Care, Work, Age Group","Junior Achievement of Central Maryland, Inc.",142694,"Junior Achievement of Central Maryland, Inc.",,,Clear
Criminal History,Re-entry,144338,"Healthy Lives, LLC",,,Clear
"Criminal History, Health, Care, Age Group, Substance Use Treatment Preferences",Jewish Big Brother & Big Sister League and Jewish Addiction Srvs.,140926,Jewish Big Brother & Big Sister League and Jewish Addiction Srvs.,,,Clear
"Criminal History, Work",Maryland Re-Entry Partnership,143785,Christopher Place Employment Academy,,,Clear
Disability,Disability Products,143358,AbleData,,,Clear
"Disability, Care, Health Specialties, Housing",Community Living Services,139930,The Arc Baltimore Community Resource Center,,,Clear
"Disability, Care, Work, Age Group",GO Center Program,142310,"Athelas Institute, Inc. Gwynn Oak Resource Center",,,Clear
"Disability, Care, Work, Health Specialties",Way Station at Howard County,141459,Way Station at Howard County,,,Clear
"Disability, Education, Age Group","Baltimore City Public Schools, Child Find Unit",140814,BCPS Child Find Unit,,,Clear
"Disability, Goods, Work","Baltimore City DSS, In-Home Aide Services",141313,"Baltimore City DSS, Child Care Program",,,Clear
"Disability, Health, Age Group, Gender & Sexuality, Health Specialties, Insurance Accepted",Behavioral Health Home,144251,"Mosaic Community Services, Baltimore City",,,Clear
"Disability, Health, Care, Education, Age Group, Family Friendly, Role, Survivors, Substance Use Treatment Preferences","Family Tree, The",140483,"Family Tree, The",,,Clear
"Disability, Health, Education",Kennedy Krieger School,141636,Kennedy Krieger Center for Development & Learning,,,Clear
"Disability, Health, Education, Age Group, Health Specialties, Survivors, Substance Use Treatment Preferences","Kennedy Krieger Institute, Clinical Services",140320,"Kennedy Krieger Institute, Clinical Services",,,Clear
"Disability, Health, Health Specialties",Kennedy Krieger Center for Development & Learning,141635,Kennedy Krieger Center for Development & Learning,,,Clear
"Disability, Health, Health Specialties, Substance Use Treatment Preferences","Fellowship House, Inc.",140162,"Fellowship House, Inc.",,,Clear
"Disability, Health, Work, Health Specialties",Workforce Technology Center,141000,Workforce Technology Center,,,Clear
Education,Abbott Tutoring Center,144755,Abbott Memorial Presbyterian Church,Education,Adult Education,
Education,GED Training,144351,House of Change Behavioral Health,Education,GED,
Education,Resources for Students (Recursos para estudiantes),144946,Centro SOL (Se Habla EspaÃ±ol),Education,ESL Classes,
Education,Baltimore City Financial Literacy Program,144676,Southern Community Action Partnership Center,Education,Adult Education,
Education,Children and Youth Programs,144327,Paul's Place,Education,Child-Education Services and Supplies,
Education,Computer Lab,144357,House of Change Behavioral Health,Education,Child-Education Services and Supplies,
Education,Adult Basic Education Program,140764,"Baltimore City Community College, Adult Basic Education",Education,Child-Education Services and Supplies,
"Education, Age Group",STEM Resources,145212,Virtual Recreation Center,,,Clear
"Education, Age Group",Woodbourne Day School,141221,Woodbourne Day School BCPS,,,Clear
"Education, Age Group",CPR & ECC training,144668,American Heart Association,,,Clear
"Education, Age Group",Police Athletic League,143498,Police Athletic League Centers,,,Clear
"Education, Age Group, Education",National Academy Foundation,142706,National Academy Foundation BCPS,,,Clear
"Education, Age Group, Family Friendly","Homeless Families Project, Baltimore City Head Start",140914,"Baltimore Housing, OHEP/Weatherization",,,Clear
"Education, Care, Age Group, Family Friendly",Baltimore City Child Care Resource Center (BCCCRC),141499,Baltimore City Child Care Resource Center,,,Clear
"Education, Disability","Head Start Program, Baltimore County",141917,"Police Athletic League (PAL), Dundalk",,,Clear
"Education, Disability",BCPS Child Find Unit,144691,Baltimore City Public School System,,,Clear
"Education, Education",Harm Reduction Education,144742,Baltimore Harm Reduction Coalition,,,Clear
"Education, Education, Emergency, Work, Citizenship, Employment, Race/Ethnicity, Languages",Educational Services (Servicios Educativos),144893,Esperanza Center (Se habla EspaÃ±ol),,,Clear
"Education, Emergency, Housing, Health, Age Group, Health Specialties","Volunteers of America Chesapeake, Inc.",141968,"Volunteers of America Chesapeake, Inc.",,,Clear
"Education, Health",AIDS INFO,140262,AIDS INFO,,,Clear
"Education, Health Specialties","Baltimore Housing, Our House",140477,"Baltimore Housing, Our House",,,Clear
"Education, Health Specialties",Jefferson School at Finan Center,143582,Jefferson School at Finan Center,,,Clear
"Education, Health, Age Group, Disability",Jefferson School and Residential Treatment Center,143583,Jefferson School and Residential Treatment Center,,,Clear
"Education, Health, Care, Age Group, Health Specialties, Substance Use Treatment Preferences",Sheppard Pratt Health System,140577,Sheppard Pratt Health System,,,Clear
"Education, Health, Education, Substance Use Treatment Preferences",Brain Injury Association of Maryland,140385,Brain Injury Association of Maryland,,,Clear
"Education, Health, Money, Care, Disability, Health Specialties","Kennedy Institute, Community Companions",143420,"Kennedy Institute, Community Companions",,,Clear
"Education, Legal, Age Group, Education, Gender & Sexuality","Free State Legal Project, Inc.",144045,FreeState Justice,,,Clear
"Education, Legal, Citizenship",Citizenship Preparation Classes,145272,International Rescue Committee- Baltimore Resettlement Center,,,Clear
"Education, Race/Ethnicity",Summer Scholars Program 2020,144732,Centro SOL,,,Clear
"Education, Work",Learning Bank Of Coil,140941,"COIL: Communities Organized to Improve Life, Inc.",,,Clear
"Education, Work",Career Center Network,141382,"Baltimore Housing, Home Ownership & Rehabilitation Services",,,Clear
"Education, Work, Age Group, Criminal History","Maryland Educational Opportunity Center, Main Office",140382,BCPS Child Find Unit,,,Clear
"Education, Work, Citizenship, Education, Race/Ethnicity",Summer Engagement Program 2020,144733,Centro SOL,,,Clear
Emergency,"Baltimore City Police Department, Southeastern District",141213,"Baltimore City Police Department, Southeastern District",,,Clear
Emergency,"Baltimore City Police Department, Northern District",141216,"Baltimore City Police Department, Northern District",,,Clear
Emergency,"Baltimore City Police Department, Northwestern District",144641,"Baltimore City Police Department, Northwestern District",,,Clear
Emergency,Volunteer - Facemasks,144836,COVID-19 VOLUNTEER - Flatten the Curve,,,Clear
Emergency,Tools,144851,The Baltimore Community ToolBank,,,Clear
Emergency,Funeral Services,144901,March Funeral Homes,,,Clear
Emergency,"Baltimore City Police Department, Western District",141217,"Baltimore City Police Department, Western District",,,Clear
Emergency,Disaster Relief,144669,American Red Cross,,,Clear
Emergency,"Baltimore City Police Department, Southwestern District",141218,"Baltimore City Police Department, Southwestern District",,,Clear
Emergency,"Baltimore City Police Department, Northeastern District",141215,"Baltimore City Police Department, Northeastern District",,,Clear
Emergency,"Baltimore City Police Department, Southern District",141219,"Baltimore City Police Department, Southern District",,,Clear
"Emergency, Age Group",Free Meals Program,145007,"YMCA, Free Meals Program",,,Clear
"Emergency, Care, Survivors",Baltimore County Crisis Response System,143157,"Affiliated Sante Group, Baltimore County",,,Clear
"Emergency, Food, Goods, Health, Age Group",Health & Wellness Programs,144328,Paul's Place,,,Clear
"Emergency, Food, Housing, Care, Age Group, Gender & Sexuality, Housing",Homeless shelter,144034,Karis Home,,,Clear
"Emergency, Food, Housing, Care, Age Group, Housing, Race/Ethnicity, Substance Use Treatment Preferences",St. Vincent de Paul Society of Baltimore,140634,Division of Youth and Young Adult Ministry,,,Clear
"Emergency, Food, Housing, Education, Work, Age Group",Case Management Programs,144326,Paul's Place,,,Clear
"Emergency, Food, Housing, Money, Work, Legal, Age Group, Disability","Community Assistance Network, Merritt Point Center",140081,"Police Athletic League (PAL), Dundalk",,,Clear
"Emergency, Health, Education, Age Group, Health Specialties, Substance Use Treatment Preferences",Sheppard Pratt at Ellicott City,140650,Sheppard Pratt at Ellicott City,,,Clear
"Emergency, Housing","Salvation Army, Baltimore, Booth House",140789,Salvation Army of Central Maryland,,,Clear
"Emergency, Housing",Sarah's Hope,143353,"Health Care for the Homeless, Inc., Baltimore County",,,Clear
"Emergency, Housing, Age Group, Armed Forces",Emergency Housing,144715,Maryland Center for Veterans Education and Training,,,Clear
"Emergency, Housing, Family Friendly","Night of Peace Family Shelter, Inc.",143518,"Night of Peace Family Shelter, Inc.",,,Clear
"Emergency, Housing, Health, Gender & Sexuality, Housing",Emergency Homeless Shelter,144032,The Harry and Jeanette Housing and Resource Center,,,Clear
"Emergency, Housing, Health, Health Specialties, Special Hours, Substance Use Treatment Preferences",Residential Units,144854,"Baltimore Crisis Response, Inc.",,,Clear
"Emergency, Insurance Accepted, Languages, Substance Use Treatment Preferences",Chemical Dependency Service,144422,University of Maryland Center for Addiction Medicine,,,Clear
"Emergency, Money",Social Security Administration Death Benefit,144903,Social Security Death Benefit,,,Clear
Employment,"Sinai Hospital, VSP",143783,"Sinai Hospital, VSP",,,Clear
"Employment, Housing",Christopher Place Employment Academy,140819,Christopher Place Employment Academy,,,Clear
"Employment, Work, Disability","Kennedy Institute, Positive Alternative Program",143440,"Kennedy Institute, Positive Alternative Program",,,Clear
Family Friendly,Parent Leadership Group,144636,Baltimore Healthy Start Inc,,,Clear
Family Friendly,Circle of Security Parenting,144639,Baltimore Healthy Start Inc,,,Clear
Food,Food Pantry,144992,Project PLASE,Food,Food Pantry ,
Food,"Baltimore City DSS, Food & Nutrition Services (Food Stamps)",141310,"Baltimore City DSS, Food & Nutrition Services (Food Stamps)",Food,Food Pantry ,
Food,Dundalk Church of The Brethren Pantry,140126,Dundalk Church of The Brethren Pantry,Food,Food Pantry ,
Food,Food Pantry,144899,GEDCO CARES,Food,Food Pantry ,
Food,Food Pantry,144838,COVID-19 FOOD -- Concord Baptist Church,Food,Food Pantry ,
Food,Grab & Go Meals and Groceries,145111,"Harbel Community Organization, Inc.",Food,Food Pantry ,
Food,Food Pick Up (DistribuciÃ³n de Comida),145008,Fishes and Loaves Food Pantry (Se habla espaÃ±ol),Food,Food Pantry ,
Food,Donald Bentley Food Pantry,142750,Donald Bentley Food Pantry,Food,Food Pantry ,
Food,"Groceries, Technology, and Other resources",144855,Thread,Food,Food Pantry ,
Food,My Groceries to Go!,145151,My Groceries to Go! / Commodity Supplemental Food Program,Food,Food Pantry ,
Food,Emergency Meal Sites for Children and Youth,145154,Family League,Food,Prepared Meals,
Food,Free Grab-N-Go Meals,145155,Rec Center Meal Sites and Mobile Meal Sites,Food,Food Pantry ,
Food,Food,144888,COVID-19 TRANSPORTATION/FOOD -- CountyRide,Food,Food Pantry ,
Food,Food,144890,Franciscan Center,Food,Food Pantry ,
Food,Food Pantry,145071,Citizens Policing Project / St. Peter Claver Church,Food,Food Pantry ,
Food,Food Pantry,145075,City of Refuge,Food,Food Pantry ,
Food,Food Delivery,145082,Bmore Community Food,Food,Food Pantry ,
Food,Free Food,145087,Umar Boxing,Food,Food Pantry ,
Food,Helping Hands Food Pantry,140906,Helping Hands Food Pantry,Food,Food Pantry ,
Food,Free Food (Comida gratis),145080,Baltimore Free Farm (COMIDA),Food,Food Pantry ,
Food,St. Peter Clever Church Pantry and lunch,145299,Citizens Policing Project / St. Peter Claver Church,Food,Food Pantry ,
Food,Food Giveaway,145081,Bmore Community Food,Food,Food Pantry ,
Food,Cockeysville Food Pantry,140074,Cockeysville Food Pantry,Food,Food Pantry ,
Food,St. Paul Apostolic Holiness Pantry,140628,St. Paul Apostolic Holiness Pantry,Food,Food Pantry ,
Food,"Whitestone Baptist Church, Food Pantry",140725,"Whitestone Baptist Church, Food Pantry",Food,Food Pantry ,
Food,Food Buying Club,140884,Christopher Place Employment Academy,Food,Food Pantry ,
Food,Waters Church Soup Kitchen,140717,Waters Church Soup Kitchen,Food,Food Pantry ,
Food,Our Daily Bread Meal Services,140985,Christopher Place Employment Academy,Food,Food Pantry ,
Food,First Apostolic Faith Church Pantry,140164,First Apostolic Faith Church Pantry,Food,Food Pantry ,
Food,Food Pantry,144446,Academy for College and Career Exploration,Food,Food Pantry ,
Food,Food Pantry,144498,Adams Chapel AME (Food Pantry),Food,Food Pantry ,
Food,Food Assistance,144502,40 West Assistance and Referral Center,Food,Food Pantry ,
Food,First Baptist Church Soup Kitchen,140166,First Baptist Church Food Pantry,Food,Food Pantry ,
Food,All Saints Food Pantry,139851,New All Saints Roman Catholic Church Food Pantry,Food,Food Pantry ,
"Food, Health, Care, Age Group",Senior Nutrition Program,143451,Senior Nutrition Program,,,Clear
"Food, Health, Education, Work",Psychiatric Rehabilitation Programs (PRP),144118,Behavioral Health Clinic - Downtown,,,Clear
"Food, Health, Education, Work",Psychiatric Rehabilitation Programs (PRP),144119,Behavioral Health Clinic - Midtown,,,Clear
"Food, Health, Health Specialties",Nutrition Education,144413,Joy Wellness Center,,,Clear
"Food, Health, Health Specialties",Dietitian Counseling,144546,"AbsoluteCARE, Greenbelt",,,Clear
"Food, Health, Health Specialties",Dietitian Counseling,144547,"AbsoluteCARE, Baltimore",,,Clear
"Food, Health, Insurance Accepted",General Health Services,144795,"Total Health Care, Inc.: Open Gates Health Center",,,Clear
"Food, Health, Money, Substance Use Treatment Preferences",My Brother's Keeper,140440,My Brother's Keeper,,,Clear
"Food, Housing, Transit, Health, Money, Care, Age Group, Criminal History, Health Specialties, Housing, Income, Languages",AIDS Interfaith Residential Services,144217,A.I.R.S.,,,Clear
"Food, Insurance Accepted","Baltimore County DSS, District Office-Dundalk",141365,"Police Athletic League (PAL), Dundalk",,,Clear
"Food, Special Hours",Senior and Special Population Store Hours,144852,Special Shopping Hours,,,Clear
"Food, Substance Use Treatment Preferences",Samaritan Community,141006,Samaritan Community,,,Clear
"Gender & Sexuality, Family Friendly",Fatherhood Groups,144640,Baltimore Healthy Start Inc,,,Clear
"Goods, Gender & Sexuality, Food, Care, Education, Work","My Sister's Place Drop-In Center (Women's Center), Catholic Charities",140976,"My Sister's Place Drop-In Center, Catholic Charities",,,Clear
"Goods, Money, Age Group, Income",Other Services,144806,"Community Crisis Center, Inc.",,,Clear
Health,Outpatient Services and Assessment Sites,144125,"Gaudenzia, Inc.",,,Clear
Health,Partial Hospitalization Program,144349,House of Change Behavioral Health,,,Clear
Health,General Services,144799,St. Agnes,Health,Access to Care (Insurance/ prescription assistance),
Health,General Services,144801,Highlandtown,Health,Access to Care (Insurance/ prescription assistance),
Health,General Services,144800,Belair Edison,Health,Access to Care (Insurance/ prescription assistance),
Health,General Services,144804,Reisterstown Road Plaza,Health,Access to Care (Insurance/ prescription assistance),
Health,General Services,144802,Belvedere Avenue,Health,Access to Care (Insurance/ prescription assistance),
Health,In Person Grief Counseling,144943,Virtual Bereavement Group,,,Clear
Health,General Services,144798,Orleans Square,,,Clear
Health,General Services,144803,Men & Family Health Center,,,Clear
Health,HIV Education and Testing,144141,Glenwood Life Counseling Center,,,Clear
Health,Medication Assisted Treatment (MAT),144145,Glenwood Life Counseling Center,,,Clear
Health,Wellness Sessions,145136,Baltimore Harm Reduction Coalition,Substance Use,Harm Reduction Treatment,
Health,Intensive Outpatient (IOP),144133,Grant House Women's Location,,,Clear
Health,Outpatient Treatment (OP),144135,Grant House Women's Location,,,Clear
Health,Maryland Alcohol & Drug Abuse Administration,143539,Westside Emergency Shelter,,,Clear
Health,Community Health,144736,Centro SOL,Health,,
Health,Intensive Outpatient (IOP),144134,Grant House Men's Location,,,Clear
Health,Outpatient Treatment (OP),144136,Grant House Men's Location,,,Clear
Health,Dental Referrals and Support,145145,Franciscan Center,Health,Dental Care,
Health,Free Medication Delivery,145016,Medstar Union Memorial Pharmacy,Health,,
Health,Free Medication Delivery (Entrega de Medicamentos Gratis),145015,Johns Hopkins Hospital Pharmacy (SALUD -- Se Habla EspaÃ±ol),Health,,
Health,"Kennedy Krieger Family Center, Family Clinic",143513,"Kennedy Krieger Family Center, Birth To Five Clinic",,,Clear
Health,Intensive Outpatient Program (IOP),144147,Glenwood Life Counseling Center,,,Clear
Health,Baltimore Families First,143770,"Baltimore Housing, OHEP/Weatherization",,,Clear
Health,Healthy Teens & Young Adults (Adolescentes Sanos y Adultos JÃ³venes),144934,Baltimore City Health Department Maternal and Child Health Services (Se Habla EspaÃ±ol),Health,Sexual/Family Planning,
Health,Family Planning & Reproductive Health Services for Adults(Servicios de PlanificaciÃ³n Familiar y Salud Reproductiva para Adultos),144933,Baltimore City Health Department Maternal and Child Health Services (Se Habla EspaÃ±ol),,,Clear
Health,Healthcare (Cuidado de la Salud),145157,"Triage, Respite, and Isolation Center at The Lord Baltimore Hotel (Se Habla EspaÃ±ol)",Health,Sexual/Family Planning,
Health,"Total Health Care Inc., Substance Abuse Program",140652,"Total Health Care, Inc.: Saratoga Street",Substance Use,Treatment Centers,
Health,Health (Salud),144857,Centro SOL (Se Habla EspaÃ±ol),Health,General Population,
Health,Medication-Assisted Treatment,145277,Tuerk House Main Campus,Substance Use,Medicated Assisted Treatment,
Health,Medication-Assisted Treatment,145285,Weisman- Kaplan House (Men),Substance Use,Medicated Assisted Treatment,
Health,Medication-Assisted Treatment,145286,"Sister Augusta Reilly, R.S.N. Home for Women in Recovery (Coming soon)",Substance Use,Medicated Assisted Treatment,
Health,Medication-Assisted Treatment,145287,Howard House for Men,Substance Use,Medicated Assisted Treatment,
Health,Medication-Assisted Treatment,145288,Nilsson House for Women,Substance Use,Medicated Assisted Treatment,
Health,Methadone Administration,144149,Belair Health Solutions,Substance Use,Medicated Assisted Treatment,
Health,Eyeglass Support Services,145137,Franciscan Center,Health,Medical Equipment,
Health,Drug Court 3.1 and 3.3,144083,"A Step Forward, Inc.",Substance Use,Treatment Centers,
Health,Prescription Support Services,145144,Franciscan Center,Health,Access to Care (Insurance/ Prescription Assistance),
Health,Intensive Outpatient Program (IOP),144154,"Beyond This Day Behavioral Health, Inc",,,Clear
Health,Outpatient Program (OP),144155,"Beyond This Day Behavioral Health, Inc",,,Clear
Health,Emergency Dental Care (Cuidado dental de emergencia),144936,Baltimore City Health Department Clinical Services (SALUD -- Se Habla EspaÃ±ol),Health,Dental Care,
Health,Sexual Health Clinic (ClÃ­nica de ETS),144937,Baltimore City Health Department Clinical Services (SALUD -- Se Habla EspaÃ±ol),Health,Sexual/Family Planning,
Health,TB & Pregnancy Tests,144153,Belair Health Solutions,Health,Sexual/Family Planning,
Health,WARMLine,145316,Maryland Volunteer Lawyers Services,Legal,Reduced Cost/ Free Transportation,
Health,Overdose Prevention,144163,"Bon Secours, New Hope Treatment Center",Substance Use,Treatment Centers,
Health,Primary Care,144167,"Bon Secours, New Hope Treatment Center",,,Clear
Health,"HIV Education, Counseling and Testing",144168,"Bon Secours, New Hope Treatment Center",,,Clear
Health,"Key Point Health Services, Inc., Catonsville",142540,"Key Point Health Services, Inc., Catonsville",,,Clear
Health,"HIV Education, Counseling and Testing",144179,"Bon Secours, Adapt Cares",,,Clear
Health,"Baltimore City DSS, Public Assistance to Adults (PAA)",143525,"Baltimore City DSS, HEESU",Safety,Adults,
Health,"Baltimore City DSS, Temporary Disability Assistance Prog. (TDAP)",141317,"Baltimore City DSS, HEESU",Safety,Adults,
Health,Primary Care,144180,"Bon Secours, Adapt Cares",Health,Access to Care (Insurance/ prescription assistance),
Health,Methadone Maintenance Treatment (MMT),144181,"B.N.J. Health Services, LLC",Substance Use,Medicated Assisted Treatment,
Health,Intensive Outpatient Therapy,144182,"B.N.J. Health Services, LLC",Substance Use,Treatment Centers,
Health,Outpatient Program,144183,"B.N.J. Health Services, LLC",Substance Use,Treatment Centers,
Health,Substance Use Disorder,144185,"Bridging The Gap Services, LLC",Substance Use,Treatment Centers,
